"region","s1aq1","s1aq4y","urbrur","s1aq5","s2aq3","s2aq11a29","s4aq2","s4aq40a1","s4aq43m","s4aq49","s4aq55a","s4gq13c","hhid","s3aq23hhid","education_rank","urban_binary","abv_avg_wage"
"BONO EAST","Male",25,"Rural","Never married","JSS/JHS",NA,NA,"Skilled agricultural, forestry and fishery workers",5,NA,889,NA,442022,1,4,0,"High"
"SAVANNAH","Female",56,"Urban","Married (Islamic)","Primary",NA,NA,"Service and sales workers",0,NA,660.672413793103,"No",749517,2,3,1,"Low"
"VOLTA","Female",32,"Urban","Married (Customary/Traditional)","SSS/SHS",NA,NA,"Service and sales workers",5,NA,660.672413793103,NA,415401,4,6,1,"Low"
"BONO","Male",28,"Rural","Informal/living together","SSS/SHS",NA,NA,"Skilled agricultural, forestry and fishery workers",3,NA,889,"No",237819,5,6,0,"High"
"BONO EAST","Female",3,"Urban",NA,"No Formal Education",NA,NA,NA,NA,NA,821.77145438121,NA,740310,1,0,1,"High"
"WESTERN","Female",15,"Rural","Never married","JSS/JHS",0,NA,NA,NA,NA,618.119080643605,NA,402207,1,4,0,"Low"
"EASTERN","Female",3,"Rural",NA,"Nursery",300,NA,NA,NA,NA,681.833333333333,NA,421410,2,1,0,"Low"
"ASHANTI","Male",13,"Urban","Never married","JSS/JHS",300,NA,NA,NA,NA,618.119080643605,NA,524307,10,4,1,"Low"
"SAVANNAH","Female",52,"Rural","Married (Islamic)","No Formal Education",NA,NA,"Skilled agricultural, forestry and fishery workers",0,NA,889,NA,151007,1,0,0,"High"
"UPPER EAST","Male",9,"Urban",NA,"Primary",100,NA,NA,NA,NA,704.84499041006,NA,354613,1,3,1,"Low"
"WESTERN","Female",25,"Rural","Never married","SSS/SHS",NA,NA,"Skilled agricultural, forestry and fishery workers",NA,NA,889,NA,302203,NA,6,0,"High"
"VOLTA","Male",13,"Rural","Never married","Primary",150,1,"Elementary occupations",2,NA,464.756097560976,NA,117415,1,3,0,"Low"
"EASTERN","Female",16,"Urban","Never married","Primary",NA,5,"Skilled agricultural, forestry and fishery workers",8,"No",100,"No",320701,1,3,1,"Low"
"ASHANTI","Female",8,"Rural",NA,"Kindergarten",250,NA,NA,NA,NA,729.655004205214,NA,627613,1,2,0,"High"
"ASHANTI","Male",11,"Rural",NA,"Primary",80,NA,NA,NA,NA,704.84499041006,NA,328807,2,3,0,"Low"
"NORTH EAST","Male",31,"Rural","Never married","Tertiary - HND",NA,NA,"Skilled agricultural, forestry and fishery workers",0,NA,889,NA,453706,1,11,0,"High"
"CENTRAL","Female",42,"Rural","Married (Civil/Ordinance)","Kindergarten",NA,NA,"Skilled agricultural, forestry and fishery workers",0,NA,889,NA,506905,10,2,0,"High"
"CENTRAL","Female",44,"Rural","Married (Customary/Traditional)","Primary",NA,NA,"Service and sales workers",3,NA,660.672413793103,"Don't Know",607411,1,3,0,"Low"
"ASHANTI","Female",5,"Urban",NA,"Kindergarten",30,NA,NA,NA,NA,729.655004205214,NA,225414,1,2,1,"High"
"CENTRAL","Male",15,"Rural","Never married","JSS/JHS",2000,NA,NA,NA,NA,618.119080643605,NA,608801,1,4,0,"Low"
"SAVANNAH","Female",13,"Rural","Never married","Primary",0,NA,NA,NA,NA,704.84499041006,NA,550810,10,3,0,"Low"
"UPPER EAST","Female",15,"Rural","Never married","Primary",NA,NA,NA,NA,NA,704.84499041006,NA,556207,10,3,0,"Low"
"ASHANTI","Male",12,"Urban","Never married","JSS/JHS",100,NA,NA,NA,NA,618.119080643605,NA,525519,10,4,1,"Low"
"GREATER ACCRA","Male",12,"Rural","Never married","Primary",NA,NA,"Skilled agricultural, forestry and fishery workers",6,NA,889,NA,214411,2,3,0,"High"
"VOLTA","Female",60,"Rural","Informal/living together","Primary",NA,NA,"Skilled agricultural, forestry and fishery workers",0,NA,889,"No",116810,1,3,0,"High"
"WESTERN","Female",2,"Urban",NA,NA,NA,NA,NA,NA,NA,550,NA,701608,1,NA,1,"Low"
"WESTERN","Female",3,"Urban",NA,"No Formal Education",NA,NA,NA,NA,NA,821.77145438121,NA,700310,NA,0,1,"High"
"OTI","Female",4,"Rural",NA,"Kindergarten",180,NA,NA,NA,NA,729.655004205214,NA,744002,1,2,0,"High"
"UPPER WEST","Male",56,"Urban","Married (Islamic)","No Formal Education",NA,NA,"Skilled agricultural, forestry and fishery workers",0,NA,889,NA,157702,1,0,1,"High"
"NORTHERN","Female",53,"Rural","Married (Islamic)","No Formal Education",NA,NA,"Skilled agricultural, forestry and fishery workers",0,NA,889,NA,247803,1,0,0,"High"
"NORTHERN","Female",6,"Rural",NA,"No Formal Education",NA,NA,NA,NA,NA,821.77145438121,NA,347116,1,0,0,"High"
"NORTHERN","Male",4,"Rural",NA,"Nursery",50,NA,NA,NA,NA,681.833333333333,NA,647718,1,1,0,"Low"
"NORTH EAST","Female",43,"Urban","Married (Islamic)","No Formal Education",NA,NA,"Service and sales workers",0,NA,660.672413793103,"No",651607,1,0,1,"Low"
"NORTH EAST","Male",7,"Rural",NA,"Primary",0,NA,NA,NA,NA,704.84499041006,NA,153101,1,3,0,"Low"
"EASTERN","Female",11,"Urban",NA,"JSS/JHS",750,NA,"Service and sales workers",3,NA,660.672413793103,NA,419802,1,4,1,"Low"
"BONO EAST","Male",9,"Rural",NA,"Kindergarten",200,NA,"Skilled agricultural, forestry and fishery workers",8,NA,889,NA,741914,1,2,0,"High"
"OTI","Female",25,"Rural","Informal/living together","JSS/JHS",NA,NA,NA,NA,NA,618.119080643605,NA,643513,2,4,0,"Low"
"CENTRAL","Male",34,"Urban","Married (Customary/Traditional)","Tertiary - Bachelor's Degree",NA,6,"Professionals",0,"Yes",2300,NA,405608,1,12,1,"High"
"VOLTA","Female",53,"Urban","Widowed","Middle",NA,4,"Service and sales workers",0,"Yes",500,"No",615506,1,5,1,"Low"
"SAVANNAH","Male",33,"Rural","Informal/living together","SSS/SHS",NA,NA,"Plant and machine operators, and assemblers",0,NA,561.896551724138,NA,450408,NA,6,0,"Low"
"EASTERN","Female",4,"Urban",NA,"Primary",350,NA,NA,NA,NA,704.84499041006,NA,220209,1,3,1,"Low"
"ASHANTI","Female",4,"Rural",NA,"Other specify",150,NA,NA,NA,NA,NA,NA,329201,1,NA,0,NA
"SAVANNAH","Female",12,"Urban","Never married","Primary",NA,NA,"Craft and related trades workers",8,"No",150,NA,748906,1,3,1,"Low"
"VOLTA","Male",5,"Urban",NA,"Kindergarten",120,NA,NA,NA,NA,729.655004205214,NA,715804,1,2,1,"High"
"UPPER WEST","Male",6,"Rural",NA,"Primary",550,NA,NA,NA,NA,704.84499041006,NA,558901,10,3,0,"Low"
"BONO","Male",19,"Rural","Never married","SSS/SHS",260,NA,"Skilled agricultural, forestry and fishery workers",0,NA,889,"Yes",738608,NA,6,0,"High"
"WESTERN","Male",11,"Rural",NA,"Primary",135,NA,NA,NA,NA,704.84499041006,NA,604106,1,3,0,"Low"
"NORTH EAST","Female",4,"Rural",NA,"No Formal Education",NA,NA,NA,NA,NA,821.77145438121,NA,552605,10,0,0,"High"
"UPPER EAST","Female",10,"Urban",NA,"Primary",680,NA,NA,NA,NA,704.84499041006,NA,154713,1,3,1,"Low"
"VOLTA","Male",77,"Rural","Married (Customary/Traditional)","Middle",NA,NA,"Skilled agricultural, forestry and fishery workers",0,NA,889,NA,416809,1,5,0,"High"
"VOLTA","Male",17,"Rural","Never married","JSS/JHS",50,NA,"Skilled agricultural, forestry and fishery workers",2,NA,889,NA,416315,1,4,0,"High"
"ASHANTI","Male",0,"Urban",NA,NA,NA,NA,NA,NA,NA,550,NA,223707,1,NA,1,"Low"
"AHAFO","Male",41,"Rural","Married (Customary/Traditional)","JSS/JHS",NA,NA,"Skilled agricultural, forestry and fishery workers",0,NA,889,"No",734615,1,4,0,"High"
"NORTHERN","Female",4,"Rural",NA,"No Formal Education",0,NA,NA,NA,NA,821.77145438121,NA,247010,1,0,0,"High"
"OTI","Male",4,"Rural",NA,"Kindergarten",450,NA,NA,NA,NA,729.655004205214,NA,744012,1,2,0,"High"
"AHAFO","Male",27,"Rural","Never married","JSS/JHS",NA,NA,"Craft and related trades workers",0,NA,267.5,NA,434502,1,4,0,"Low"
"NORTH EAST","Male",4,"Rural",NA,"Nursery",55,NA,NA,NA,NA,681.833333333333,NA,453411,1,1,0,"Low"
"WESTERN NORTH","Female",18,"Urban","Never married","JSS/JHS",600,NA,NA,NA,NA,618.119080643605,NA,230403,1,4,1,"Low"
"CENTRAL","Male",2,"Rural",NA,NA,NA,NA,NA,NA,NA,550,NA,706808,NA,NA,0,"Low"
"EASTERN","Female",36,"Urban","Married (Islamic)","SSS/SHS",NA,NA,NA,NA,NA,673.530203086443,NA,319915,1,6,1,"Low"
"UPPER WEST","Male",59,"Rural","Married (Customary/Traditional)","No Formal Education",NA,NA,"Skilled agricultural, forestry and fishery workers",0,NA,889,NA,358612,1,0,0,"High"
"GREATER ACCRA","Male",86,"Urban","Married (Islamic)","Middle",NA,NA,NA,NA,NA,777.271367946636,NA,610905,1,5,1,"High"
"WESTERN NORTH","Female",49,"Urban","Married (Customary/Traditional)","No Formal Education",NA,NA,"Skilled agricultural, forestry and fishery workers",0,NA,889,"Don't Know",631111,1,0,1,"High"
"UPPER EAST","Female",0,"Urban",NA,NA,NA,NA,NA,NA,NA,550,NA,255206,1,NA,1,"Low"
"WESTERN","Female",41,"Urban","Widowed","JSS/JHS",NA,NA,"Service and sales workers",2,NA,660.672413793103,"Don't Know",101007,1,4,1,"Low"
"NORTH EAST","Male",13,"Urban","Never married","JSS/JHS",0,NA,NA,NA,NA,618.119080643605,NA,251522,1,4,1,"Low"
"WESTERN NORTH","Male",26,"Urban","Never married","Tertiary - Post graduate certificate / diploma",400,NA,NA,NA,NA,1190.5,NA,330612,1,13,1,"High"
"AHAFO","Male",64,"Rural","Married (Customary/Traditional)","Tertiary - HND",NA,NA,"Skilled agricultural, forestry and fishery workers",0,NA,889,"No",735510,1,11,0,"High"
"CENTRAL","Male",41,"Urban","Married (Civil/Ordinance)","Tertiary - Bachelor's Degree",NA,NA,"Professionals",0,"No",2600,"No",704418,1,12,1,"High"
"UPPER EAST","Male",39,"Rural","Married (Customary/Traditional)","No Formal Education",NA,7,"Service and sales workers",0,NA,660.672413793103,NA,256301,1,0,0,"Low"
"BONO","Female",0,"Rural",NA,NA,NA,NA,NA,NA,NA,550,NA,538011,10,NA,0,"Low"
"GREATER ACCRA","Male",19,"Urban","Never married","SSS/SHS",1550,NA,NA,NA,NA,673.530203086443,NA,109305,1,6,1,"Low"
"AHAFO","Female",28,"Rural","Never married","Tertiary - Bachelor's Degree",3500,NA,NA,NA,NA,1823.08021656255,NA,334702,1,12,0,"High"
"UPPER EAST","Male",30,"Urban","Never married","SSS/SHS",NA,NA,"Service and sales workers",5,NA,660.672413793103,NA,354518,2,6,1,"Low"
"SAVANNAH","Female",52,"Urban","Widowed","Primary",NA,NA,"Craft and related trades workers",4,NA,267.5,NA,348503,1,3,1,"Low"
"UPPER WEST","Male",44,"Rural","Married (Customary/Traditional)","No Formal Education",NA,NA,"Skilled agricultural, forestry and fishery workers",0,NA,889,NA,558406,10,0,0,"High"
"BONO","Male",13,"Urban","Never married","Primary",100,NA,NA,NA,NA,704.84499041006,NA,237402,NA,3,1,"Low"
"OTI","Female",49,"Urban","Married (Customary/Traditional)","JSS/JHS",NA,NA,"Service and sales workers",0,NA,660.672413793103,NA,442614,1,4,1,"Low"
"WESTERN NORTH","Male",49,"Rural","Married (Customary/Traditional)","Primary",NA,NA,"Skilled agricultural, forestry and fishery workers",0,NA,889,NA,431402,1,3,0,"High"
"NORTH EAST","Female",18,"Rural","Never married","SSS/SHS",500,NA,NA,NA,NA,673.530203086443,NA,253418,NA,6,0,"Low"
"ASHANTI","Female",30,"Rural","Married (Civil/Ordinance)","Tertiary - Post graduate certificate / diploma",NA,NA,NA,NA,NA,1190.5,"Yes",129310,1,13,0,"High"
"AHAFO","Male",2,"Urban",NA,NA,NA,NA,NA,NA,NA,550,NA,733216,1,NA,1,"Low"
"WESTERN NORTH","Male",15,"Rural","Never married","JSS/JHS",120,NA,NA,NA,NA,618.119080643605,NA,732202,1,4,0,"Low"
"WESTERN","Male",3,"Rural",NA,"Nursery",0,NA,NA,NA,NA,681.833333333333,NA,503109,10,1,0,"Low"
"EASTERN","Female",10,"Urban",NA,"Primary",1200,NA,NA,NA,NA,704.84499041006,NA,720313,1,3,1,"Low"
"GREATER ACCRA","Male",8,"Rural",NA,"Primary",500,NA,NA,NA,NA,704.84499041006,NA,613704,1,3,0,"Low"
"SAVANNAH","Male",22,"Rural","Married (Islamic)","No Formal Education",NA,NA,"Skilled agricultural, forestry and fishery workers",0,NA,889,"No",651018,1,0,0,"High"
"UPPER WEST","Female",87,"Urban","Widowed","Middle",NA,NA,NA,NA,NA,777.271367946636,NA,657602,1,5,1,"High"
"UPPER WEST","Male",20,"Rural","Never married","SSS/SHS",0,NA,NA,NA,NA,673.530203086443,NA,258511,NA,6,0,"Low"
"NORTHERN","Female",32,"Rural","Married (Customary/Traditional)","No Formal Education",NA,NA,"Skilled agricultural, forestry and fishery workers",0,NA,889,"No",747010,1,0,0,"High"
"WESTERN NORTH","Male",12,"Rural","Never married","Primary",100,NA,NA,NA,NA,704.84499041006,NA,431510,1,3,0,"Low"
"UPPER WEST","Female",31,"Rural","Married (Customary/Traditional)","No Formal Education",NA,NA,"Skilled agricultural, forestry and fishery workers",2,NA,889,"No",359708,2,0,0,"High"
"VOLTA","Female",22,"Rural","Never married","SSS/SHS",NA,NA,NA,NA,NA,673.530203086443,NA,116507,1,6,0,"Low"
"NORTH EAST","Male",15,"Rural","Never married","JSS/JHS",50,NA,NA,NA,NA,618.119080643605,NA,253504,NA,4,0,"Low"
"CENTRAL","Male",32,"Urban","Never married","Tertiary - Master's Degree",NA,NA,"Professionals",6,"No",1000,"Yes",705203,1,14,1,"High"
"WESTERN","Female",27,"Rural","Married (Customary/Traditional)","JSS/JHS",NA,5,"Service and sales workers",6,NA,660.672413793103,"No",103009,1,4,0,"Low"
"UPPER EAST","Female",8,"Rural",NA,"Kindergarten",50,NA,NA,NA,NA,729.655004205214,NA,356309,1,2,0,"High"
"ASHANTI","Female",19,"Urban","Never married","SSS/SHS",200,NA,NA,NA,NA,673.530203086443,NA,723505,1,6,1,"Low"
"NORTHERN","Female",3,"Rural",NA,"No Formal Education",NA,NA,NA,NA,NA,821.77145438121,NA,447817,1,0,0,"High"
"EASTERN","Female",43,"Urban","Married (Civil/Ordinance)","JSS/JHS",NA,NA,"Craft and related trades workers",0,NA,267.5,"Yes",320407,1,4,1,"Low"
"EASTERN","Male",21,"Urban","Never married","Tertiary - Bachelor's Degree",200,NA,NA,NA,NA,1823.08021656255,NA,620705,1,12,1,"High"
"WESTERN NORTH","Female",0,"Rural",NA,NA,NA,NA,NA,NA,NA,550,NA,331506,1,NA,0,"Low"
"OTI","Male",11,"Rural",NA,"JSS/JHS",30,NA,NA,NA,NA,618.119080643605,NA,343501,2,4,0,"Low"
"UPPER EAST","Female",30,"Rural","Never married","No Formal Education",NA,NA,"Skilled agricultural, forestry and fishery workers",2,NA,889,NA,156908,1,0,0,"High"
"NORTH EAST","Female",3,"Urban",NA,"Kindergarten",120,NA,NA,NA,NA,729.655004205214,NA,551912,10,2,1,"High"
"OTI","Female",15,"Urban","Never married","JSS/JHS",NA,NA,"Skilled agricultural, forestry and fishery workers",0,NA,889,"Don't Know",343407,1,4,1,"High"
"EASTERN","Female",1,"Rural",NA,NA,NA,NA,NA,NA,NA,550,NA,321306,1,NA,0,"Low"
"ASHANTI","Male",36,"Urban","Married (Civil/Ordinance)","Secondary",NA,NA,NA,NA,NA,804.501231527094,NA,526903,10,7,1,"High"
"EASTERN","Male",36,"Urban","Informal/living together","JSS/JHS",NA,NA,"Craft and related trades workers",0,"No",80,"No",720612,1,4,1,"Low"
"BONO EAST","Female",1,"Rural",NA,NA,NA,NA,NA,NA,NA,550,NA,241718,9,NA,0,"Low"
"UPPER EAST","Male",12,"Urban","Never married","Primary",10,NA,NA,NA,NA,704.84499041006,NA,654606,1,3,1,"Low"
"EASTERN","Female",59,"Rural","Separated","Primary",NA,NA,"Elementary occupations",0,NA,464.756097560976,NA,520816,10,3,0,"Low"
"GREATER ACCRA","Female",30,"Urban","Married (Islamic)","JSS/JHS",NA,NA,"Craft and related trades workers",0,NA,267.5,"No",312308,2,4,1,"Low"
"BONO","Female",34,"Rural","Married (Customary/Traditional)","Primary",NA,NA,"Skilled agricultural, forestry and fishery workers",2,NA,889,"No",638201,1,3,0,"High"
"CENTRAL","Male",57,"Urban","Married (Customary/Traditional)","No Formal Education",NA,NA,"Skilled agricultural, forestry and fishery workers",0,NA,889,NA,404806,1,0,1,"High"
"NORTHERN","Female",52,"Urban","Married (Islamic)","No Formal Education",NA,NA,NA,NA,NA,821.77145438121,NA,445311,1,0,1,"High"
"OTI","Female",19,"Rural","Never married","JSS/JHS",NA,NA,"Craft and related trades workers",0,NA,267.5,NA,544818,10,4,0,"Low"
"OTI","Female",15,"Rural","Never married","No Formal Education",NA,NA,NA,NA,NA,821.77145438121,NA,244910,1,0,0,"High"
"NORTH EAST","Female",12,"Urban","Never married","Primary",160,NA,NA,NA,NA,704.84499041006,NA,751212,1,3,1,"Low"
"WESTERN NORTH","Female",38,"Urban","Married (Civil/Ordinance)","Postmiddle/secondary diploma",NA,4,"Professionals",0,"Yes",3075,"Yes",330405,1,10,1,"High"
"AHAFO","Female",56,"Rural","Divorced","Middle",NA,NA,"Skilled agricultural, forestry and fishery workers",0,NA,889,"Yes",335111,1,5,0,"High"
"UPPER WEST","Female",56,"Rural","Married (Customary/Traditional)","No Formal Education",NA,NA,"Skilled agricultural, forestry and fishery workers",5,NA,889,"No",759205,NA,0,0,"High"
"BONO EAST","Male",20,"Rural","Never married","JSS/JHS",350,5,"Plant and machine operators, and assemblers",0,"No",200,NA,541917,10,4,0,"Low"
"GREATER ACCRA","Female",30,"Urban","Married (Civil/Ordinance)","SSS/SHS",NA,NA,"Service and sales workers",0,NA,660.672413793103,NA,412908,1,6,1,"Low"
"UPPER EAST","Female",5,"Rural",NA,"Kindergarten",70,NA,NA,NA,NA,729.655004205214,NA,255413,1,2,0,"High"
"BONO EAST","Female",4,"Rural",NA,"No Formal Education",NA,NA,NA,NA,NA,821.77145438121,NA,341119,1,0,0,"High"
"GREATER ACCRA","Male",7,"Rural",NA,"Kindergarten",NA,NA,NA,NA,NA,729.655004205214,NA,514402,10,2,0,"High"
"BONO EAST","Male",5,"Rural",NA,"Primary",1100,NA,NA,NA,NA,704.84499041006,NA,441022,1,3,0,"Low"
"VOLTA","Female",6,"Rural",NA,"Primary",80,NA,NA,NA,NA,704.84499041006,NA,617802,1,3,0,"Low"
"AHAFO","Female",4,"Rural",NA,"Kindergarten",40,NA,NA,NA,NA,729.655004205214,NA,235513,1,2,0,"High"
"GREATER ACCRA","Male",17,"Urban","Never married","JSS/JHS",1200,NA,NA,NA,NA,618.119080643605,NA,212414,1,4,1,"Low"
"GREATER ACCRA","Female",40,"Rural","Separated","JSS/JHS",NA,NA,"Service and sales workers",6,NA,660.672413793103,NA,313502,1,4,0,"Low"
"UPPER WEST","Male",8,"Rural",NA,"Primary",200,NA,NA,NA,NA,704.84499041006,NA,658903,1,3,0,"Low"
"ASHANTI","Female",42,"Rural","Married (Civil/Ordinance)","Tertiary - HND",NA,NA,"Technicians and associate professionals",6,NA,1030,"Don't Know",728810,1,11,0,"High"
"ASHANTI","Female",30,"Urban","Married (Civil/Ordinance)","Primary",NA,NA,"Elementary occupations",0,NA,464.756097560976,"No",724508,1,3,1,"Low"
"WESTERN","Male",24,"Urban","Never married","Primary",NA,2,"Skilled agricultural, forestry and fishery workers",6,NA,889,"No",100211,1,3,1,"High"
"NORTHERN","Female",29,"Rural","Informal/living together","JSS/JHS",NA,NA,"Skilled agricultural, forestry and fishery workers",0,NA,889,NA,546601,10,4,0,"High"
"UPPER EAST","Male",28,"Rural","Married (Customary/Traditional)","SSS/SHS",NA,NA,"Skilled agricultural, forestry and fishery workers",0,NA,889,NA,455404,1,6,0,"High"
"EASTERN","Male",2,"Urban",NA,NA,NA,NA,NA,NA,NA,550,NA,418711,1,NA,1,"Low"
"GREATER ACCRA","Male",35,"Rural","Informal/living together","SSS/SHS",NA,NA,"Skilled agricultural, forestry and fishery workers",0,NA,889,"No",214414,1,6,0,"High"
"SAVANNAH","Male",6,"Rural",NA,"No Formal Education",NA,NA,"Skilled agricultural, forestry and fishery workers",0,NA,889,NA,550916,10,0,0,"High"
"UPPER EAST","Female",86,"Rural","Widowed","No Formal Education",NA,NA,NA,NA,NA,821.77145438121,NA,756713,1,0,0,"High"
"NORTH EAST","Female",52,"Rural","Married (Customary/Traditional)","No Formal Education",NA,NA,"Skilled agricultural, forestry and fishery workers",0,NA,889,NA,452702,NA,0,0,"High"
"ASHANTI","Male",46,"Urban","Married (Civil/Ordinance)","Tertiary - Master's Degree",0,7,"Professionals",0,"No",4000,"No",626007,1,14,1,"High"
"AHAFO","Female",22,"Urban","Informal/living together","Primary",NA,NA,NA,NA,NA,704.84499041006,NA,233106,1,3,1,"Low"
"GREATER ACCRA","Female",8,"Urban",NA,"Primary",0,NA,NA,NA,NA,704.84499041006,NA,409817,1,3,1,"Low"
"ASHANTI","Male",26,"Rural","Married (Customary/Traditional)","No Formal Education",NA,6,"Elementary occupations",0,"No",80,"No",328117,11,0,0,"Low"
"UPPER EAST","Female",12,"Rural","Never married","Primary",0,NA,NA,NA,NA,704.84499041006,NA,555914,10,3,0,"Low"
"VOLTA","Male",69,"Urban","Married (Customary/Traditional)","Middle",NA,NA,NA,NA,NA,777.271367946636,NA,514509,10,5,1,"High"
"GREATER ACCRA","Female",43,"Urban","Married (Customary/Traditional)","JSS/JHS",NA,NA,"Service and sales workers",0,NA,660.672413793103,"Don't Know",609714,2,4,1,"Low"
"UPPER EAST","Female",10,"Rural",NA,"Primary",200,NA,NA,NA,NA,704.84499041006,NA,255418,1,3,0,"Low"
"CENTRAL","Male",49,"Rural","Married (Customary/Traditional)","SSS/SHS",NA,NA,"Skilled agricultural, forestry and fishery workers",0,NA,889,"No",108504,1,6,0,"High"
"EASTERN","Male",20,"Rural","Never married","Tertiary - Bachelor's Degree",260,NA,NA,NA,NA,1823.08021656255,NA,722207,2,12,0,"High"
"VOLTA","Male",18,"Urban","Never married","SSS/SHS",250,NA,NA,NA,NA,673.530203086443,NA,314517,1,6,1,"Low"
"NORTH EAST","Male",15,"Urban","Never married","JSS/JHS",120,NA,NA,NA,NA,618.119080643605,NA,751804,1,4,1,"Low"
"BONO","Female",19,"Urban","Never married","SSS/SHS",0,NA,NA,NA,NA,673.530203086443,NA,236202,NA,6,1,"Low"
"GREATER ACCRA","Female",38,"Rural","Married (Customary/Traditional)","JSS/JHS",NA,NA,"Service and sales workers",0,NA,660.672413793103,"No",713313,1,4,0,"Low"
"BONO","Female",67,"Urban","Widowed","No Formal Education",NA,NA,NA,NA,NA,821.77145438121,NA,637515,NA,0,1,"High"
"OTI","Male",3,"Rural",NA,"No Formal Education",NA,NA,NA,NA,NA,821.77145438121,NA,444709,1,0,0,"High"
"NORTH EAST","Male",65,"Rural","Married (Customary/Traditional)","Primary",NA,NA,"Skilled agricultural, forestry and fishery workers",0,NA,889,"No",253519,1,3,0,"High"
"EASTERN","Female",20,"Rural","Never married","JSS/JHS",NA,NA,"Craft and related trades workers",0,NA,267.5,"No",722107,1,4,0,"Low"
"OTI","Female",67,"Urban","Married (Customary/Traditional)","Middle",NA,NA,NA,NA,NA,777.271367946636,NA,142712,NA,5,1,"High"
"NORTHERN","Male",5,"Urban",NA,"Kindergarten",230,NA,NA,NA,NA,729.655004205214,NA,445816,1,2,1,"High"
"WESTERN NORTH","Male",12,"Rural","Never married","Primary",60,NA,NA,NA,NA,704.84499041006,NA,532411,10,3,0,"Low"
"SAVANNAH","Female",21,"Rural","Married (Islamic)","No Formal Education",NA,NA,"Skilled agricultural, forestry and fishery workers",5,NA,889,NA,250602,1,0,0,"High"
"ASHANTI","Male",7,"Urban",NA,"Primary",200,NA,NA,NA,NA,704.84499041006,NA,424620,2,3,1,"Low"
"ASHANTI","Male",3,"Rural",NA,"No Formal Education",80,NA,NA,NA,NA,821.77145438121,NA,328309,1,0,0,"High"
"UPPER EAST","Male",32,"Rural","Married (Customary/Traditional)","Primary",NA,NA,"Skilled agricultural, forestry and fishery workers",0,NA,889,NA,156411,1,3,0,"High"
"BONO","Female",9,"Urban",NA,"Primary",550,NA,NA,NA,NA,704.84499041006,NA,136914,1,3,1,"Low"
"AHAFO","Male",7,"Rural",NA,"Primary",20,NA,NA,NA,NA,704.84499041006,NA,135404,NA,3,0,"Low"
"OTI","Male",21,"Rural","Married (Customary/Traditional)","SSS/SHS",NA,NA,"Skilled agricultural, forestry and fishery workers",0,NA,889,"No",344807,1,6,0,"High"
"OTI","Male",18,"Urban","Never married","JSS/JHS",392,NA,"Skilled agricultural, forestry and fishery workers",0,NA,889,NA,443018,1,4,1,"High"
"OTI","Female",96,"Rural","Widowed","No Formal Education",NA,NA,"Service and sales workers",NA,NA,660.672413793103,NA,344713,NA,0,0,"Low"
"NORTH EAST","Male",51,"Rural","Married (Customary/Traditional)","No Formal Education",NA,NA,NA,NA,NA,821.77145438121,NA,153506,1,0,0,"High"
"EASTERN","Female",42,"Rural","Married (Customary/Traditional)","Primary",NA,NA,"Skilled agricultural, forestry and fishery workers",0,NA,889,"Don't Know",122613,1,3,0,"High"
"NORTH EAST","Female",0,"Urban",NA,NA,NA,NA,NA,NA,NA,550,NA,651114,1,NA,1,"Low"
"GREATER ACCRA","Male",51,"Urban","Married (Customary/Traditional)","SSS/SHS",NA,6,"Service and sales workers",3,"Yes",900,"Yes",210802,1,6,1,"High"
"NORTH EAST","Male",26,"Rural","Married (Customary/Traditional)","Primary",NA,NA,"Skilled agricultural, forestry and fishery workers",3,NA,889,NA,552401,10,3,0,"High"
"WESTERN","Female",12,"Rural","Never married","Primary",270,NA,NA,NA,NA,704.84499041006,NA,703306,NA,3,0,"Low"
"GREATER ACCRA","Male",32,"Urban","Never married","Voc/Tech/Commercial",NA,3,"Service and sales workers",0,"No",1500,"No",311321,1,8,1,"High"
"UPPER WEST","Female",6,"Urban",NA,"Primary",0,NA,NA,NA,NA,704.84499041006,NA,558112,10,3,1,"Low"
"CENTRAL","Female",3,"Rural",NA,"Nursery",80,NA,NA,NA,NA,681.833333333333,NA,207311,1,1,0,"Low"
"SAVANNAH","Female",28,"Urban","Married (Islamic)","SSS/SHS",NA,NA,"Elementary occupations",0,NA,464.756097560976,"No",648815,1,6,1,"Low"
"UPPER WEST","Female",5,"Urban",NA,"Primary",800,NA,NA,NA,NA,704.84499041006,NA,357311,1,3,1,"Low"
"WESTERN NORTH","Male",36,"Rural","Informal/living together","JSS/JHS",NA,NA,"Skilled agricultural, forestry and fishery workers",0,NA,889,NA,432006,1,4,0,"High"
"UPPER WEST","Female",17,"Urban","Never married","JSS/JHS",500,NA,NA,NA,NA,618.119080643605,NA,658015,1,4,1,"Low"
"NORTH EAST","Female",46,"Rural","Married (Customary/Traditional)","Primary",NA,NA,"Skilled agricultural, forestry and fishery workers",0,NA,889,NA,452704,1,3,0,"High"
"UPPER WEST","Female",5,"Rural",NA,"No Formal Education",20,NA,NA,NA,NA,821.77145438121,NA,358517,1,0,0,"High"
"UPPER EAST","Male",31,"Urban","Married (Customary/Traditional)","Postmiddle/secondary diploma",NA,6,"Service and sales workers",0,"No",900,NA,454405,1,10,1,"High"
"OTI","Female",21,"Rural","Never married","Primary",NA,NA,"Skilled agricultural, forestry and fishery workers",0,NA,889,NA,344114,1,3,0,"High"
